Nome,Link
"LaForgue, Jules",https://web.archive.org/web/20121010212842/http://www.nga.gov/cgi-bin/tsearch?artistid=10810
"Lafosse, Charles de",https://web.archive.org/web/20121010212842/http://www.nga.gov/cgi-bin/tsearch?artistid=27434
"Lafrensen II, Niclas",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=4562
"Lafreri, Antonio",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=25674
Lafréry,https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=25674
Lagarde,https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=6465
Lagneau,https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=2603
"Lagrenee, Jean Jacques",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=4563
"Lagrenée, Louis Jean François",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=31689
"Lahey, Richard",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=5745
"Laib, Wolfgang",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=29955
"Laigniel, Nicolas",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=19585
"Laing, Gerald",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=5848
"Lairesse, Gerard de",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=4566
"Lalanne, Maxime",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=2604
"Laliame, Philippe",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=2142
"Lallemand, Georges",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=5854
"Lallemand, Jean-Baptiste",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=5298
"Lalyame, Philibert",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=2142
"Lalyame, Philippe",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=2142
"Lamb, A.A.",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=1451
"Lambdin, George Cochran",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=27447
"Lambdin, James Reid",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=1452
"Lambert, Maurice de",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=17815
"Lambla, June",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=26545
"Lambrecht, Laurie",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=36345
"Lamey, T.",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=5625
"Lameyer y Berenguer, Francisco",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=4567
"Lami, Eugène Louis",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=13926
"Lamont, Martin",https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=8263
Lamourette,https://web.archive.org/web/20121010212848/http://www.nga.gov/cgi-bin/tsearch?artistid=24024
"Lampsonius, Dominique",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=6263
"Lamr, Ales",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=24840
"Lana, Lodovico",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=4568
"Lancaster, Mark",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=30248
"Lancaster, Percy",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=4569
"Lanceley, Colin",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=6653
"Lancret, Nicolas",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=1454
"Landacre, Paul Hambelton",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=4570
"Landau, Jacob",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=4571
"Lande, Willem van",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=25701
"Landeck, Armin",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=4572
"Landen, Willem van",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=25701
"Lander, Benjamin",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=33675
"Landers, Bertha Mae",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=33677
"Landfield, Ronnie",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=10493
"Landi, Antonio Giuseppe",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=4573
"Landi, Giuseppe Antonio",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=4573
"Landi, Neroccio di Bartolomeo Benedetto de'",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=1750
"Landini, D.",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=25669
"Landis, John",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=2605
"Landon, Edward August",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=26061
"Landon, Edward August",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=26061
"Landon, Rebecca",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=2607
"Landry, Pierre",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=10709
"Landseer, Edwin Henry Sir",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=5978
"Landseer, Edwin, Sir",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=5978
"Landy, Art",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=33678
"Lane, Fitz Henry",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=1456
"Lane, Fitz Hugh",https://web.archive.org/web/20121010212946/http://www.nga.gov/cgi-bin/tsearch?artistid=1456
"Lane, Lois",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=9699
"Lane, Richard James",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=6088
"Lane, Rosalia",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=7746
"Lane, Samuel",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=4574
"Lanfair, Harriet Keese",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=33679
"Lanfranco, Giovanni",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=2608
"Lanfranco, Giovanni di Stefano",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=2608
"Lang, David",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=4575
"Lang, John",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=7747
"Lang, William",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=7748
Lang Shih-ning,https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=3706
"Lang, the Elder, Hans Kaspar",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=33266
"Lange, Otto",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=35315
"Langenheim, Frederick",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=13500
"Langenheim, William",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=13499
"Langhans, Carl Gotthard",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=6706
"Langhans, Karl",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=6853
"Langhans, Karl Ferdinand",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=6853
"Langlois, François",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=10737
"Langlois, Juan Carlos",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=4576
"Langlois, Nicolas",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=11474
"Langlois, Pierre Gabriel",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=6153
"Langlois, Polycles",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=4577
"Langridge, James L.",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=6466
"Lanier, Ruth Asawa",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=2924
"Laning, Edward",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=33680
"Lankes, Julius J.",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=4578
"Lanneau, Nicolas",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=2603
"Lanoüe, Félix-Hippolyte",https://web.archive.org/web/20121010212818/http://www.nga.gov/cgi-bin/tsearch?artistid=28431
"Lanscher, Martha L.",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=7589
"Lansing, Cooper Nott",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=33681
"Lansing, Margaret Hunt",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=33682
"Lansyer, Emmanuel",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=6799
L'Antico,https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=2004
"Lantow, David",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=19947
"Lantz, Juanita",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=7749
"Lanus, Jose Maria",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=6583
"Lanyon, Ellen",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=33683
"Lanzani, Polidoro",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=5765
"Lanzedelly, Josef",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4579
"Lapicque, Charles",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4580
Lapierre,https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=21937
"Lapinski, Tadeusz",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4581
"Laporte, John",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4583
"Lappe, Phyllis De (Pele)",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=33350
"Laprade, Pierre",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4584
"Larciani, Giovanni",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=1696
"Larciani, Giovanni di Lorenzo",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=1696
"Larciani (Master of the Kress Landscapes), Giovanni",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=1696
"Larez, Francisco",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4585
"Largillière, Nicolas de",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=1458
"Largillierre, Nicolas de",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=1458
"Larionov, Mikhail",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4586
"Larionov, Mikhail Fedorovich",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4586
"Larkin, Eugene",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4587
"Larmessin IV, Nicolas de",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=4588
"Laroche, Henry Jean",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=7025
"Laroon II, Marcellus",https://web.archive.org/web/20121010212827/http://www.nga.gov/cgi-bin/tsearch?artistid=2609
"Larsen, Nils Paul",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=33684
"Larson, Carol",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=7751
"Larsson, Carl",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=27889
"Lartigue, Jacques-Henri",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=13543
"Larzelere, Fanchon",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=7752
"Lasansky, Leonardo",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=6096
"Lasansky, Leonardo da Iowa",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=6096
"Lasansky, Mauricio",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=4590
"Lasinio, Carlo",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=4591
"Lasne, Michel",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=5642
"Lasry, David",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=21067
"Lasry, David Paul",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=21067
"Lassaw, Ibram",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=2143
"Lassen, Ben",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=7753
"Lasuchin, Victor",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=4592
"Laszlo, Fulop Elek von",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=1460
"Laszlo, Philip Alexius de",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=1460
"Laszlo de Lombos, Philip Alexius",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=1460
"Lata, Jirí",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=30345
"Latham, Barbara",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=33685
"Lathrop, Dorothy Pulis",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=4582
"Lathrop, William Langson",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=33686
"Latour, Georges de",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=1461
"Lattré, Jean",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=4593
"Lau, Dorothea",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=34247
"Lauber, Joseph",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=33687
"Lauderdale, Ursula",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=7754
"Laufrová, Alena",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=24867
"Laugé, Achille",https://web.archive.org/web/20121010212942/http://www.nga.gov/cgi-bin/tsearch?artistid=22914
"Laujon, Pierre",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=7028
Launay,https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=21938
"Launay, Nicolas de",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=3896
"Launay, Robert de",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=3897
"Laurana, Francesco",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=2145
"Laurence, Samuel",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=6420
"Laurencin, Marie",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=1464
"Laurens, Henri",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=2610
"Laurens, Jules",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=4595
"Laurens, Jules-Joseph-Auguste",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=4595
"Laurent, Juan",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=29567
"Laurent, Robert",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=15760
"Lauretano, Michael",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=7755
"Lauri, Giacomo",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=11558
"Laurie, Robert",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=26269
"Lauschmann, Jan",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=29063
"Lautensack, Hans Sebald",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=4596
"Lauterbach, Paul",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=7756
"Lautrec Monfa, Henri Marie Raymond de Toulouse",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=1935
"Lauwers, Nicolaes",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=5648
"Lavalle, John",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=2611
"Lavallée, Joseph",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=11475
"Lavallée-Poussin, Étienne de",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=6930
"Lavenson, Alma",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=23824
"Lavier, Bertrand",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=20540
"Lavreince, Nicolas",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=4562
"Law, David",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=35499
"Law III, William",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=5788
"Lawrence, Edna W.",https://web.archive.org/web/20121010212815/http://www.nga.gov/cgi-bin/tsearch?artistid=33688
"Lawrence, Jacob",https://web.archive.org/web/20121010212800/http://www.nga.gov/cgi-bin/tsearch?artistid=1468
"Lawrence, Jacob Mrs.",https://web.archive.org/web/20121010212800/http://www.nga.gov/cgi-bin/tsearch?artistid=797
"Lawrence, Thomas, Sir",https://web.archive.org/web/20121010212800/http://www.nga.gov/cgi-bin/tsearch?artistid=1472
"Lawson, Alexander",https://web.archive.org/web/20121010212800/http://www.nga.gov/cgi-bin/tsearch?artistid=4599
"Lawson, Irene",https://web.archive.org/web/20121010212800/http://www.nga.gov/cgi-bin/tsearch?artistid=7757
"Lawson, James M.",https://web.archive.org/web/20121010212800/http://www.nga.gov/cgi-bin/tsearch?artistid=7758
